numero,edad,identidad_genero,tipo_victima,lugar_hecho,modalidad_comisiva,fecha_hecho
1074,52,MUJER,PRINCIPAL,Santa Cruz,ESTRANGULAMIENTO -,2018-05-05
1073,38,MUJER,PRINCIPAL,San Luis,GOLPES - AHORCAMIENTO -,2018-01-28
1072,50,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA -,2018-01-24
1071,53,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2018-01-22
1070,4,MUJER,PRINCIPAL,Córdoba,AHORCAMIENTO - ABUSO SEXUAL -,2018-01-15
1068,26,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-03-07
1067,16,MUJER,PRINCIPAL,Corrientes,ABUSO SEXUAL -,2018-01-02
1066,26,MUJER,PRINCIPAL,Salta,GOLPES -,2017-12-17
1065,50,MUJER,PRINCIPAL,Corrientes,GOLPES - OTROS -,2017-12-24
1064,,MUJER,VINCULADO,Santa Fe,Sin datos,2017-12-29
1064,,MUJER,VINCULADO,Santa Fe,DISPARO DE BALA -,2017-12-29
1064,20,HOMBRE,VINCULADO,Santa Fe,DISPARO DE BALA -,2017-12-29
1064,19,MUJER,VINCULADO,Santa Fe,DISPARO DE BALA -,2017-12-29
1064,35,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-12-29
1063,60,MUJER,PRINCIPAL,Jujuy,Sin datos,2018-01-04
1061,35,MUJER,PRINCIPAL,Jujuy,QUEMADURAS -,2017-11-21
1062,34,TRANSGENERO,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2018-12-29
1060,18,MUJER,PRINCIPAL,Santa Fe,QUEMADURAS -,2017-12-25
1059,21,MUJER,PRINCIPAL,Santiago del Estero,AHORCAMIENTO -,2017-09-12
1058,23,MUJER,PRINCIPAL,Santa Fe,AHORCAMIENTO -,2018-01-06
1057,41,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA -,2017-12-13
1055,53,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-12-25
1054,39,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA -,2018-01-11
1053,24,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-12-18
1052,25,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS -,2018-01-10
1051,31,MUJER,PRINCIPAL,La Rioja,GOLPES -,2018-01-08
1050,25,MUJER,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,2017-09-23
1049,52,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ESTRANGULAMIENTO -,2017-12-19
1048,17,MUJER,PRINCIPAL,Salta,GOLPES - ASFIXIA -,2017-12-07
1047,20,MUJER,PRINCIPAL,Tucuman,QUEMADURAS -,2017-12-08
1046,38,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA -,2014-11-16
1045,74,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-09-20
1044,42,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-12-19
1043,42,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA -,2017-12-08
1042,43,MUJER,PRINCIPAL,Misiones,DISPARO DE BALA -,2017-12-09
1041,64,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-12-08
1040,32,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,
1039,26,MUJER,PRINCIPAL,Misiones,ASFIXIA -,2017-12-02
1038,32,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-12-11
1037,20,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-12-08
1036,1,HOMBRE,VINCULADO,Catamarca,QUEMADURAS -,2017-11-27
1036,22,MUJER,PRINCIPAL,Catamarca,QUEMADURAS -,2017-11-27
1035,75,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-12-06
1034,19,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-12-06
1033,30,MUJER,PRINCIPAL,Formosa,GOLPES -,2015-02-09
1032,38,MUJER,PRINCIPAL,Salta,DISPARO DE BALA -,2017-12-01
1031,34,MUJER,PRINCIPAL,Formosa,ACUCHILLAMIENTO -,2017-12-01
1029,36,,PRINCIPAL,Ciudad de Buenos Aires,ASFIXIA -,2014-03-28
1030,36,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2015-11-15
1028,44,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO -,2017-11-25
1027,26,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-11-11
1026,22,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-11-07
1025,30,MUJER,PRINCIPAL,Chubut,AHORCAMIENTO -,2016-01-24
1024,23,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA -,2017-10-29
1023,54,MUJER,PRINCIPAL,Entre Rios,DISPARO DE BALA -,2017-10-28
1022,27,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO -,2017-10-25
1020,22,MUJER,PRINCIPAL,Chaco,GOLPES -,2017-10-24
1021,2,MUJER,VINCULADO,Santa Fe,ACUCHILLAMIENTO -,2017-10-24
1021,33,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-10-24
1019,37,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-10-23
1018,20,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-10-20
1017,36,MUJER,PRINCIPAL,Neuquen,APUÑALAMIENTO -,2017-09-28
1016,26,TRANS FEMENINA,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-10-18
1015,43,MUJER,PRINCIPAL,Córdoba,GOLPES -,2017-10-17
1014,29,MUJER,PRINCIPAL,Catamarca,AHORCAMIENTO -,2017-10-09
1013,20,HOMBRE,VINCULADO,Santiago del Estero,DESCUARTIZAMIENTO -,2017-10-06
1013,62,MUJER,PRINCIPAL,Santiago del Estero,DESCUARTIZAMIENTO -,2017-10-06
1012,25,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-10-06
1011,51,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA -,2017-09-30
1010,35,MUJER,PRINCIPAL,Córdoba,DEGOLLAMIENTO -,2017-10-29
1009,40,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2017-09-30
1008,25,MUJER,PRINCIPAL,Salta,GOLPES -,2017-09-21
1007,39,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-09-21
1006,31,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-09-17
1005,43,TRANS FEMENINA,PRINCIPAL,Buenos Aires,GOLPES -,2017-09-09
1004,13,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-09-07
1003,,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA -,2017-09-01
1002,47,MUJER,PRINCIPAL,Catamarca,DISPARO DE BALA -,2017-09-12
1001,22,MUJER,PRINCIPAL,Santiago del Estero,ESTRANGULAMIENTO -,2017-09-11
1000,31,TRANSGENERO,PRINCIPAL,Tucuman,ASFIXIA -,2017-08-12
999,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-09-09
998,19,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-09-09
997,21,MUJER,PRINCIPAL,Jujuy,ESTRANGULAMIENTO -,2015-02-03
996,51,MUJER,PRINCIPAL,Jujuy,GOLPES -,2015-05-19
995,0,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ESTRANGULAMIENTO - ABUSO SEXUAL -,2017-09-05
994,20,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-08-27
993,23,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2015-12-25
992,22,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2016-09-02
991,19,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO -,2017-08-26
990,27,MUJER,PRINCIPAL,Jujuy,GOLPES -,2017-08-20
989,30,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA -,2013-04-01
978,65,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO -,2017-08-23
987,20,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-08-19
986,21,MUJER,PRINCIPAL,Salta,ENVENENAMIENTO -,2017-05-05
985,32,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO - QUEMADURAS -,2013-12-09
984,,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-07-01
983,46,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-08-09
983,80,MUJER,VINCULADO,Buenos Aires,ACUCHILLAMIENTO -,2017-08-09
982,18,MUJER,PRINCIPAL,Ciudad de Buenos Aires,DISPARO DE BALA -,2017-06-20
981,22,MUJER,PRINCIPAL,Buenos Aires,AHORCAMIENTO -,2017-08-08
980,41,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-08-07
979,16,MUJER,PRINCIPAL,Buenos Aires,ASFIXIA -,2017-08-04
978,36,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-08-23
977,27,MUJER,PRINCIPAL,Corrientes,GOLPES -,2017-07-28
976,36,TRAVESTI,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-07-25
975,67,MUJER,VINCULADO,Corrientes,DISPARO DE BALA -,2017-07-25
974,67,MUJER,PRINCIPAL,Ciudad de Buenos Aires,GOLPES -,2017-07-21
973,29,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2014-10-11
972,,MUJER,PRINCIPAL,Neuquen,ASFIXIA - QUEMADURAS -,2017-07-24
971,39,MUJER,PRINCIPAL,Jujuy,GOLPES -,2017-07-13
970,18,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-07-19
969,55,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-07-20
967,73,HOMBRE,PRINCIPAL,Ciudad de Buenos Aires,ESTRANGULAMIENTO -,2017-07-15
966,13,MUJER,PRINCIPAL,Chaco,DISPARO DE BALA -,2017-07-14
965,27,MUJER,VINCULADO,Córdoba,DISPARO DE BALA -,2017-07-14
964,66,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-07-15
962,30,MUJER,PRINCIPAL,Buenos Aires,AHORCAMIENTO -,2013-05-22
961,37,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-07-12
959,24,MUJER,PRINCIPAL,Tucuman,DISPARO DE BALA -,2014-07-06
958,38,MUJER,PRINCIPAL,Entre Rios,ACUCHILLAMIENTO -,2017-07-12
957,999,MUJER,PRINCIPAL,Tucuman,GOLPES -,2014-06-22
956,38,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO -,2012-12-06
955,21,MUJER,PRINCIPAL,Tucuman,QUEMADURAS -,2017-04-02
954,19,HOMBRE,PRINCIPAL,Buenos Aires,OTROS -,2017-07-08
953,31,MUJER,PRINCIPAL,Santiago del Estero,ESTRANGULAMIENTO -,2017-07-09
952,26,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO - QUEMADURAS -,2017-07-08
951,7,MUJER,VINCULADO,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-07-06
951,43,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-07-06
950,19,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2017-07-05
947,30,MUJER,PRINCIPAL,Córdoba,APUÑALAMIENTO -,2016-10-30
946,27,MUJER,PRINCIPAL,Chubut,ACUCHILLAMIENTO -,2017-07-03
944,32,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2017-06-28
943,39,MUJER,PRINCIPAL,Santiago del Estero,AHORCAMIENTO -,2012-01-22
942,23,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-07-03
941,52,MUJER,PRINCIPAL,San Juan,ACUCHILLAMIENTO -,2017-07-02
940,31,MUJER,PRINCIPAL,San Luis,GOLPES -,2017-06-28
937,25,MUJER,PRINCIPAL,Chaco,ASFIXIA -,2017-06-27
936,37,MUJER,PRINCIPAL,Tucuman,ACUCHILLAMIENTO - DISPARO DE BALA -,2017-06-27
935,17,MUJER,PRINCIPAL,Santiago del Estero,DISPARO DE BALA -,2017-06-25
934,19,MUJER,PRINCIPAL,Formosa,ABUSO SEXUAL -,2017-06-16
933,31,MUJER,PRINCIPAL,Buenos Aires,QUEMADURAS -,2017-04-20
932,20,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-06-22
930,27,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-06-19
929,46,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,
927,46,MUJER,PRINCIPAL,Córdoba,DESCUARTIZAMIENTO -,2017-06-17
928,33,MUJER,PRINCIPAL,Neuquen,ACUCHILLAMIENTO -,2017-06-11
926,39,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-06-11
925,18,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-06-10
924,10,MUJER,VINCULADO,Neuquen,DISPARO DE BALA -,2017-06-08
922,29,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-06-12
921,3,HOMBRE,VINCULADO,Salta,ENVENENAMIENTO -,2017-06-05
921,26,MUJER,PRINCIPAL,Salta,ENVENENAMIENTO -,2017-06-05
919,46,MUJER,PRINCIPAL,Córdoba,GOLPES - DESCUARTIZAMIENTO -,2017-05-28
918,40,MUJER,PRINCIPAL,Santiago del Estero,APUÑALAMIENTO -,2017-06-01
917,35,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-28
916,22,MUJER,PRINCIPAL,Salta,ESTRANGULAMIENTO -,2017-05-27
914,21,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-23
913,,MUJER,PRINCIPAL,,GOLPES -,
912,52,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-05-16
911,50,MUJER,PRINCIPAL,Ciudad de Buenos Aires,ACUCHILLAMIENTO -,2015-12-14
910,50,MUJER,PRINCIPAL,Chaco,DEGOLLAMIENTO -,2017-05-14
909,36,MUJER,PRINCIPAL,Catamarca,ACUCHILLAMIENTO -,2017-05-14
907,,MUJER,PRINCIPAL,Buenos Aires,AHORCAMIENTO -,2017-05-07
906,17,MUJER,PRINCIPAL,Córdoba,ATROPELLAMIENTO -,2017-04-26
905,17,MUJER,PRINCIPAL,Tucuman,QUEMADURAS -,2017-05-06
904,50,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2017-05-09
903,34,MUJER,PRINCIPAL,Mendoza,ESTRANGULAMIENTO -,2016-09-19
902,22,MUJER,PRINCIPAL,Jujuy,QUEMADURAS -,2017-05-04
901,18,HOMBRE,PRINCIPAL,Chaco,ACUCHILLAMIENTO -,2017-02-23
899,15,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-05-04
898,1,MUJER,PRINCIPAL,Mendoza,ATROPELLAMIENTO -,2017-04-27
897,18,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-11
896,15,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-04-29
895,,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,2017-04-28
894,22,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,2017-04-02
893,21,MUJER,PRINCIPAL,Córdoba,ESTRANGULAMIENTO -,2017-04-22
892,23,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2015-11-23
891,35,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-04-19
890,40,MUJER,PRINCIPAL,Mendoza,DESCUARTIZAMIENTO -,2017-04-21
889,52,MUJER,PRINCIPAL,Mendoza,AHORCAMIENTO -,2017-04-23
888,,MUJER,PRINCIPAL,Tucuman,ACUCHILLAMIENTO -,2017-04-23
887,44,MUJER,PRINCIPAL,Corrientes,ACUCHILLAMIENTO - GOLPES -,2015-03-16
886,41,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA -,2017-04-17
885,29,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-04-16
884,,MUJER,PRINCIPAL,Buenos Aires,ABUSO SEXUAL -,2017-04-15
883,3,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ABUSO SEXUAL -,2017-04-11
882,48,MUJER,PRINCIPAL,Buenos Aires,DEGOLLAMIENTO -,2017-04-20
881,49,MUJER,PRINCIPAL,Santa Fe,ACUCHILLAMIENTO -,2017-04-13
880,27,MUJER,PRINCIPAL,Misiones,ACUCHILLAMIENTO -,2017-04-17
876,,HOMBRE,VINCULADO,Córdoba,ACUCHILLAMIENTO -,2016-05-24
875,56,MUJER,PRINCIPAL,Buenos Aires,DESCUARTIZAMIENTO -,2017-04-09
874,43,MUJER,PRINCIPAL,Santiago del Estero,ACUCHILLAMIENTO -,2017-04-14
873,16,,PRINCIPAL,Tucuman,ABUSO SEXUAL -,2017-04-14
872,10,MUJER,PRINCIPAL,Corrientes,ABUSO SEXUAL -,2017-04-04
871,,HOMBRE,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,2015-11-07
870,43,,PRINCIPAL,Santa Fe,GOLPES -,2017-04-09
869,,,VINCULADO,Rio Negro,ACUCHILLAMIENTO -,2016-10-29
868,19,MUJER,PRINCIPAL,Córdoba,Sin datos,2017-04-08
867,30,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-03-22
866,21,MUJER,PRINCIPAL,Entre Rios,ESTRANGULAMIENTO -,2017-04-01
865,78,MUJER,PRINCIPAL,Santiago del Estero,GOLPES -,2014-06-01
864,16,MUJER,PRINCIPAL,Misiones,ESTRANGULAMIENTO -,2017-04-02
863,,,PRINCIPAL,Buenos Aires,GOLPES -,2014-08-27
862,22,,PRINCIPAL,Salta,Sin datos,2017-03-01
861,,MUJER,PRINCIPAL,Buenos Aires,Sin datos,2017-03-31
860,43,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-03-30
859,42,MUJER,PRINCIPAL,La Rioja,APUÑALAMIENTO -,2017-03-30
858,,MUJER,PRINCIPAL,Buenos Aires,DESBARRANCAMIENTO -,2017-03-27
857,31,MUJER,PRINCIPAL,Jujuy,ESTRANGULAMIENTO -,2017-03-22
856,,MUJER,PRINCIPAL,La Pampa,DEGOLLAMIENTO -,2016-11-22
855,12,,PRINCIPAL,San Luis,ESTRANGULAMIENTO -,2017-03-22
854,36,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2017-03-21
853,16,MUJER,PRINCIPAL,San Luis,DISPARO DE BALA -,2017-03-19
852,50,MUJER,PRINCIPAL,Jujuy,GOLPES -,2017-03-21
851,28,MUJER,PRINCIPAL,Córdoba,ACUCHILLAMIENTO -,2016-11-30
850,17,MUJER,PRINCIPAL,Salta,Sin datos,2017-03-18
849,22,MUJER,PRINCIPAL,Buenos Aires,Sin datos,2017-03-20
847,19,MUJER,PRINCIPAL,Buenos Aires,ESTRANGULAMIENTO -,2016-08-21
846,48,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-03-13
845,53,MUJER,PRINCIPAL,Córdoba,GOLPES -,2017-03-10
843,36,MUJER,PRINCIPAL,Córdoba,DISPARO DE BALA -,2017-03-05
844,43,MUJER,PRINCIPAL,Neuquen,DISPARO DE BALA -,2017-03-12
842,54,MUJER,PRINCIPAL,Salta,GOLPES -,2017-02-24
841,35,,PRINCIPAL,Entre Rios,GOLPES -,2017-02-28
840,67,MUJER,PRINCIPAL,Santa Fe,DISPARO DE BALA - GOLPES -,2017-02-27
839,22,MUJER,PRINCIPAL,Buenos Aires,Empalamiento -,2017-02-24
838,20,MUJER,PRINCIPAL,Buenos Aires,Sin datos,2017-02-21
837,3,,VINCULADO,Santiago del Estero,QUEMADURAS - ACUCHILLAMIENTO -,2017-02-20
837,9,MUJER,VINCULADO,Santiago del Estero,QUEMADURAS - ACUCHILLAMIENTO -,2017-02-20
837,11,MUJER,VINCULADO,Santiago del Estero,QUEMADURAS - ACUCHILLAMIENTO -,2017-02-20
837,12,HOMBRE,VINCULADO,Santiago del Estero,QUEMADURAS - ACUCHILLAMIENTO -,2017-02-20
837,33,MUJER,PRINCIPAL,Santiago del Estero,QUEMADURAS - ACUCHILLAMIENTO -,2017-02-20
836,20,MUJER,PRINCIPAL,Jujuy,ACUCHILLAMIENTO -,2017-02-17
835,8,MUJER,VINCULADO,Jujuy,DEGOLLAMIENTO -,2017-02-15
835,30,MUJER,PRINCIPAL,Jujuy,DEGOLLAMIENTO -,2017-02-15
834,31,MUJER,PRINCIPAL,Mendoza,GOLPES -,2017-02-15
833,27,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-17
831,42,MUJER,PRINCIPAL,Buenos Aires,GOLPES - ACUCHILLAMIENTO -,2017-02-11
830,16,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA -,2017-02-12
830,17,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA -,2017-02-12
829,42,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2017-02-12
828,40,MUJER,PRINCIPAL,Corrientes,QUEMADURAS -,2017-02-01
827,26,MUJER,PRINCIPAL,Buenos Aires,GOLPES -,2016-03-21
826,15,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-03
826,50,MUJER,PRINCIPAL,Buenos Aires,ACUCHILLAMIENTO -,2017-02-03
825,55,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA - DISPARO DE BALA -,2017-02-05
825,34,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA - DISPARO DE BALA -,2017-02-05
825,,HOMBRE,VINCULADO,Buenos Aires,DISPARO DE BALA - DISPARO DE BALA -,2017-02-05
825,,MUJER,VINCULADO,Buenos Aires,DISPARO DE BALA - DISPARO DE BALA -,2017-02-05
825,,MUJER,PRINCIPAL,Buenos Aires,DISPARO DE BALA - DISPARO DE BALA -,2017-02-05
824,32,MUJER,PRINCIPAL,Santa Fe,GOLPES -,2017-02-06
823,44,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-01-27
822,28,MUJER,PRINCIPAL,Tucuman,APUÑALAMIENTO -,2017-02-04
821,26,MUJER,PRINCIPAL,Salta,ACUCHILLAMIENTO -,2017-02-01
